x,y,z
14752.76,-39091.24,4763.87
14715.51,-38992.53,4763.87
14678.25,-38893.82,4763.85
14641.00,-38795.11,4763.83
14603.74,-38696.39,4763.81
14566.48,-38597.68,4763.79
14529.23,-38498.97,4763.76
14491.97,-38400.26,4763.74
14454.72,-38301.55,4763.71
14417.46,-38202.84,4763.69
14380.21,-38104.13,4763.66
14342.95,-38005.42,4763.64
14305.69,-37906.71,4763.62
14268.44,-37808.00,4763.59
14231.18,-37709.29,4763.57
14193.93,-37610.57,4763.54
14156.67,-37511.86,4763.52
14119.41,-37413.15,4763.49
14082.16,-37314.44,4763.47
14044.90,-37215.73,4763.44
14007.65,-37117.02,4763.42
13970.39,-37018.31,4763.40
13933.13,-36919.60,4763.37
13895.88,-36820.89,4763.35
13858.62,-36722.18,4763.32
13821.37,-36623.46,4763.30
13784.11,-36524.75,4763.27
13746.86,-36426.04,4763.25
13709.60,-36327.33,4763.22
13672.34,-36228.62,4763.20
13635.09,-36129.91,4763.18
13597.83,-36031.20,4763.15
13560.58,-35932.49,4763.13
13523.32,-35833.78,4763.10
13486.06,-35735.07,4763.08
13448.81,-35636.36,4763.05
13411.55,-35537.64,4763.03
13374.30,-35438.93,4763.00
13337.04,-35340.22,4762.98
13299.79,-35241.51,4762.96
13262.53,-35142.80,4762.93
13225.27,-35044.09,4762.91
13188.02,-34945.38,4762.88
13150.76,-34846.67,4762.86
13113.51,-34747.96,4762.83
13076.25,-34649.25,4762.81
13038.99,-34550.54,4762.79
13001.74,-34451.82,4762.76
12964.48,-34353.11,4762.74
12927.23,-34254.40,4762.71
12889.97,-34155.69,4762.69
12852.71,-34056.98,4762.66
12815.46,-33958.27,4762.64
12778.20,-33859.56,4762.61
12740.95,-33760.85,4762.59
12703.69,-33662.14,4762.57
12666.44,-33563.43,4762.54
12629.18,-33464.71,4762.52
12591.92,-33366.00,4762.49
12554.67,-33267.29,4762.47
12517.41,-33168.58,4762.44
12480.16,-33069.87,4762.42
12442.90,-32971.16,4762.39
