x,y,z
14999.73,-1418468.75,1814.48
14999.09,-1418408.75,1814.48
14998.46,-1418348.75,1814.48
14997.82,-1418288.75,1814.48
14997.19,-1418228.75,1814.48
14996.55,-1418168.75,1814.48
14995.92,-1418108.75,1814.48
14995.28,-1418048.75,1814.48
14994.65,-1417988.75,1814.48
14994.01,-1417928.75,1814.48
14993.38,-1417868.75,1814.48
14992.74,-1417808.75,1814.48
14992.11,-1417748.75,1814.48
14991.47,-1417688.75,1814.48
14990.84,-1417628.75,1814.48
14990.21,-1417568.75,1814.48
14989.57,-1417508.75,1814.48
14988.94,-1417448.75,1814.48
14988.30,-1417388.75,1814.48
14987.67,-1417328.75,1814.48
14987.03,-1417268.75,1814.48
14986.40,-1417208.75,1814.48
14985.76,-1417148.75,1814.48
14985.13,-1417088.75,1814.48
14984.49,-1417028.75,1814.48
14983.86,-1416968.75,1814.48
14983.22,-1416908.75,1814.48
14982.59,-1416848.75,1814.48
14981.95,-1416788.75,1814.48
14981.32,-1416728.75,1814.48
14980.68,-1416668.75,1814.48
14980.05,-1416608.75,1814.48
14979.41,-1416548.75,1814.48
14978.78,-1416488.75,1814.48
14978.14,-1416428.75,1814.48
14977.51,-1416368.75,1814.48
14976.88,-1416308.75,1814.48
14976.24,-1416248.75,1814.48
14975.61,-1416188.75,1814.48
14974.97,-1416128.75,1814.48
14974.34,-1416068.75,1814.48
14973.70,-1416008.75,1814.48
14973.07,-1415948.75,1814.48
14972.43,-1415888.75,1814.48
14971.80,-1415828.75,1814.48
14971.16,-1415768.75,1814.48
14970.53,-1415708.75,1814.48
14969.89,-1415648.75,1814.48
14969.26,-1415588.75,1814.48
14968.62,-1415528.75,1814.48
14967.99,-1415468.75,1814.48
14967.35,-1415408.75,1814.48
14966.72,-1415348.75,1814.48
14966.08,-1415288.75,1814.48
14965.45,-1415228.75,1814.48
14964.81,-1415168.75,1814.48
14964.18,-1415108.75,1814.48
14963.54,-1415048.75,1814.48
14962.91,-1414988.75,1814.48
14962.28,-1414928.75,1814.48
14961.64,-1414868.75,1814.48
14961.01,-1414808.75,1814.48
14960.37,-1414748.75,1814.48
14959.74,-1414688.75,1814.48
