x,y,z
-0.08,-6595.00,1000.00
-0.07,-6545.00,1000.00
-0.08,-6495.00,1000.00
-0.07,-6445.00,1000.00
-0.08,-6395.00,1000.00
-0.07,-6345.00,1000.00
-0.08,-6295.00,1000.00
-0.07,-6245.00,1000.00
-0.08,-6195.00,1000.00
-0.07,-6145.00,1000.00
-0.08,-6095.00,1000.00
-0.07,-6045.00,1000.00
-0.07,-5995.00,1000.00
-0.07,-5945.00,1000.00
-0.07,-5895.00,1000.00
-0.07,-5845.00,1000.00
-0.07,-5795.00,1000.00
-0.07,-5745.00,1000.00
-0.07,-5695.00,1000.00
-0.07,-5645.00,1000.00
-0.07,-5595.00,1000.00
-0.07,-5545.00,1000.00
-0.07,-5495.00,1000.00
-0.07,-5445.00,1000.00
-0.07,-5395.00,1000.00
-0.07,-5345.00,1000.00
-0.07,-5295.00,1000.00
-0.07,-5245.00,1000.00
-0.07,-5195.00,1000.00
-0.07,-5145.00,1000.00
-0.07,-5095.00,1000.00
-0.07,-5045.00,1000.00
-0.07,-4995.00,1000.00
-0.07,-4945.00,1000.00
-0.07,-4895.00,1000.00
-0.07,-4845.00,1000.00
-0.07,-4795.00,1000.00
-0.07,-4745.00,1000.00
-0.07,-4695.00,1000.00
-0.07,-4645.00,1000.00
-0.07,-4595.00,1000.00
-0.07,-4545.00,1000.00
-0.07,-4495.00,1000.00
-0.07,-4445.00,1000.00
-0.07,-4395.00,1000.00
-0.07,-4345.00,1000.00
-0.07,-4295.00,1000.00
-0.07,-4245.00,1000.00
-0.07,-4195.00,1000.00
-0.07,-4145.00,1000.00
-0.07,-4095.00,1000.00
-0.07,-4045.00,1000.00
-0.07,-3995.00,1000.00
-0.07,-3945.00,1000.00
-0.07,-3895.00,1000.00
-0.07,-3845.00,1000.00
-0.07,-3795.00,1000.00
-0.07,-3745.00,1000.00
-0.07,-3695.00,1000.00
-0.07,-3645.00,1000.00
-0.07,-3595.00,1000.00
-0.07,-3545.00,1000.00
-0.07,-3495.00,1000.00
-0.07,-3445.00,1000.00
-0.07,-3395.00,1000.00
-0.07,-3345.00,1000.00
-0.07,-3295.00,1000.00
-0.07,-3245.00,1000.00
-0.07,-3195.00,1000.00
-0.07,-3145.00,1000.00
-0.07,-3095.00,1000.00
-0.07,-3045.00,1000.00
-0.07,-2995.00,1000.00
-0.07,-2945.00,1000.00
-0.07,-2895.00,1000.00
-0.07,-2845.00,1000.00
-0.07,-2795.00,1000.00
-0.07,-2745.00,1000.00
-0.07,-2695.00,1000.00
-0.07,-2645.00,1000.00
-0.07,-2595.00,1000.00
-0.07,-2545.00,1000.00
-0.07,-2495.00,1000.00
-0.07,-2445.00,1000.00
-0.07,-2395.00,1000.00
-0.07,-2345.00,1000.00
-0.07,-2295.00,1000.00
-0.07,-2245.00,1000.00
-0.07,-2195.00,1000.00
-0.07,-2145.00,1000.00
-0.07,-2095.00,1000.00
-0.07,-2045.00,1000.00
-0.07,-1995.00,1000.00
-0.07,-1945.00,1000.00
-0.07,-1895.00,1000.00
-0.07,-1845.00,1000.00
-0.07,-1795.00,1000.00
-0.07,-1745.00,1000.00
-0.07,-1695.00,1000.00
-0.07,-1645.00,1000.00
-0.07,-1595.00,1000.00
-0.07,-1545.00,1000.00
-0.07,-1495.00,1000.00
-0.07,-1445.00,1000.00
-0.07,-1395.00,1000.00
-0.07,-1345.00,1000.00
-0.07,-1295.00,1000.00
-0.07,-1245.00,1000.00
-0.07,-1195.00,1000.00
-0.07,-1145.00,1000.00
-0.07,-1095.00,1000.00
-0.07,-1045.00,1000.00
-0.07,-995.00,1000.00
-0.07,-945.00,1000.00
-0.07,-895.00,1000.00
-0.07,-845.00,1000.00
-0.07,-795.00,1000.00
-0.07,-745.00,1000.00
-0.07,-695.00,1000.00
-0.07,-645.00,1000.00
-0.07,-595.01,1000.00
-0.07,-545.01,1000.00
-0.07,-495.01,1000.00
-0.07,-445.01,1000.00
-0.07,-395.01,1000.00
-0.07,-345.01,1000.00
-0.07,-295.01,1000.00
-0.07,-245.01,1000.00
-0.07,-195.01,1000.00
-0.07,-145.01,1000.00
-0.07,-95.01,1000.00
-0.07,-45.01,1000.00
